;ID;position.x;position.y;position.z;total_volume;cell_type;cycle_model;current_phase;elapsed_time_in_phase;nuclear_volume;cytoplasmic_volume;fluid_fraction;calcified_fraction;orientation.x;orientation.y;orientation.z;polarity;migration_speed;motility_vector.x;motility_vector.y;motility_vector.z;migration_bias;motility_bias_direction.x;motility_bias_direction.y;motility_bias_direction.z;persistence_time;motility_reserved;Oxygen;HIF;LDH;PDK;PDH;Diff_coeff;distance;simulation_time
5700;5699;136.604655722329;-92.9514892579088;27.0738637415199;1247;0;9999;1;17.9833333333259;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153808262197;3.58281767904481;3.39126627906496;6.23542821018822;0.142167657947153;64448.7775504108;167.432987843416;6
5701;5700;124.98737828716;-82.4755081526196;40.747486590663;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154964409838;3.58281696143719;3.39126620354253;6.23542801235375;0.142167658082689;70953.5736190557;155.191532757386;6
5702;5701;123.955895663795;-77.8846414634472;68.3368087770305;1247;0;9999;1;17.9833333333259;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154414021892;3.58281726478018;3.3912661487043;6.2354278685319;0.142167658235044;66336.5279668265;161.558041828724;6
5703;5702;125.046763391543;-72.111602916801;-81.4625265089751;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528156643608698;3.5828159345635;3.39126610336496;6.23542774996228;0.142167658256536;77114.7436652693;165.749568732942;6
5704;5703;122.636221702616;-70.1292989174786;-54.6151529042077;1247;0;9999;1;35.9666666666621;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152498196804;3.58281851271953;3.39126637657228;6.23542846564943;0.142167657765054;54917.3725027453;151.461468258103;6
5705;5704;133.673716706789;-77.2249633083868;-40.3687210768758;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152498196804;3.58281851271953;3.39126637657228;6.23542846564943;0.142167657765054;54917.3725027453;159.568139481449;6
5706;5705;125.737104946991;-72.3580096286329;-27.3649400788386;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151187021771;3.5828193208502;3.39126646123219;6.23542868742072;0.142167657613017;50583.2285920699;147.629065781053;6
5707;5706;137.54974220998;-77.4351687405767;-13.5650402316133;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150489648259;3.58281974714392;3.39126650495784;6.23542880196046;0.142167657535083;46872.3952688768;158.43025991394;6
5708;5707;125.897903335985;-72.5374902893709;0.296670563014772;2494;0;9999;3;0;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150441790704;3.58281977372684;3.39126650509107;6.23542880230543;0.142167657536555;47464.4565935687;145.299888421501;6
5709;5708;133.808268460947;-67.553381025831;13.6589604236554;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150441790704;3.58281977372127;3.3912665048308;6.23542880161954;0.142167657537405;47464.4565935687;150.514714218886;6
